entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
sim-0115,simulation,NASA extreme materials panel 0115,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 306.1 C with modeled conductivity 157.702 and structural response 656.29.,306.1,656.29,157.702,,,NASA extreme materials panel
sim-0116,simulation,FEA structural heat-load surrogate 0116,FEA structural heat-load surrogate; high-temperature flow around coated surface. Thermal service window up to 1015.62 C with modeled conductivity 167.387 and structural response 431.98.,1015.62,431.98,167.387,,,FEA structural heat-load surrogate
sim-0117,simulation,FEA structural heat-load surrogate 0117,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 201.9 C with modeled conductivity 24.465 and structural response 131.86.,201.9,131.86,24.465,,,FEA structural heat-load surrogate
sim-0118,simulation,NASA extreme materials panel 0118,NASA extreme materials panel; high-temperature flow around coated surface. Thermal service window up to 1105.49 C with modeled conductivity 162.169 and structural response 1119.97.,1105.49,1119.97,162.169,,,NASA extreme materials panel
sim-0119,simulation,OpenFOAM CFD thermal shock case 0119,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 990.89 C with modeled conductivity 130.968 and structural response 470.74.,990.89,470.74,130.968,,,OpenFOAM CFD thermal shock case
sim-0120,simulation,NASA extreme materials panel 0120,NASA extreme materials panel; high-temperature flow around coated surface. Thermal service window up to 578.57 C with modeled conductivity 92.093 and structural response 428.04.,578.57,428.04,92.093,,,NASA extreme materials panel
sim-0121,simulation,OpenFOAM CFD thermal shock case 0121,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 154.95 C with modeled conductivity 175.592 and structural response 523.48.,154.95,523.48,175.592,,,OpenFOAM CFD thermal shock case
sim-0122,simulation,OpenFOAM CFD thermal shock case 0122,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 1373.53 C with modeled conductivity 176.181 and structural response 1062.08.,1373.53,1062.08,176.181,,,OpenFOAM CFD thermal shock case
sim-0123,simulation,OpenFOAM CFD thermal shock case 0123,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 798.4 C with modeled conductivity 34.022 and structural response 575.39.,798.4,575.39,34.022,,,OpenFOAM CFD thermal shock case
sim-0124,simulation,NASA extreme materials panel 0124,NASA extreme materials panel; vacuum and radiation facing material screen. Thermal service window up to 1251.55 C with modeled conductivity 52.396 and structural response 241.04.,1251.55,241.04,52.396,,,NASA extreme materials panel
sim-0125,simulation,NASA extreme materials panel 0125,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 1422.07 C with modeled conductivity 108.259 and structural response 842.69.,1422.07,842.69,108.259,,,NASA extreme materials panel
sim-0126,simulation,OpenFOAM CFD thermal shock case 0126,OpenFOAM CFD thermal shock case; heat flux and structural resilience benchmark. Thermal service window up to 538.78 C with modeled conductivity 174.69 and structural response 359.83.,538.78,359.83,174.69,,,OpenFOAM CFD thermal shock case
sim-0127,simulation,FEA structural heat-load surrogate 0127,FEA structural heat-load surrogate; vacuum and radiation facing material screen. Thermal service window up to 1055.74 C with modeled conductivity 102.635 and structural response 93.95.,1055.74,93.95,102.635,,,FEA structural heat-load surrogate
sim-0128,simulation,FEA structural heat-load surrogate 0128,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 834.81 C with modeled conductivity 130.601 and structural response 1086.7.,834.81,1086.7,130.601,,,FEA structural heat-load surrogate
sim-0129,simulation,FEA structural heat-load surrogate 0129,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 1379.18 C with modeled conductivity 109.262 and structural response 1155.78.,1379.18,1155.78,109.262,,,FEA structural heat-load surrogate
sim-0130,simulation,OpenFOAM CFD thermal shock case 0130,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 1438.74 C with modeled conductivity 58.418 and structural response 1139.38.,1438.74,1139.38,58.418,,,OpenFOAM CFD thermal shock case
sim-0131,simulation,FEA structural heat-load surrogate 0131,FEA structural heat-load surrogate; heat flux and structural resilience benchmark. Thermal service window up to 703.44 C with modeled conductivity 63.274 and structural response 130.96.,703.44,130.96,63.274,,,FEA structural heat-load surrogate
sim-0132,simulation,NASA extreme materials panel 0132,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 718.77 C with modeled conductivity 34.435 and structural response 375.17.,718.77,375.17,34.435,,,NASA extreme materials panel
sim-0133,simulation,FEA structural heat-load surrogate 0133,FEA structural heat-load surrogate; high-temperature flow around coated surface. Thermal service window up to 962.86 C with modeled conductivity 113.623 and structural response 1008.16.,962.86,1008.16,113.623,,,FEA structural heat-load surrogate
sim-0134,simulation,OpenFOAM CFD thermal shock case 0134,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 1353.65 C with modeled conductivity 111.437 and structural response 436.15.,1353.65,436.15,111.437,,,OpenFOAM CFD thermal shock case
sim-0135,simulation,FEA structural heat-load surrogate 0135,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 1104.44 C with modeled conductivity 86.98 and structural response 410.22.,1104.44,410.22,86.98,,,FEA structural heat-load surrogate
sim-0136,simulation,FEA structural heat-load surrogate 0136,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 510.93 C with modeled conductivity 69.488 and structural response 1175.59.,510.93,1175.59,69.488,,,FEA structural heat-load surrogate
sim-0137,simulation,NASA extreme materials panel 0137,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 225.94 C with modeled conductivity 78.113 and structural response 302.77.,225.94,302.77,78.113,,,NASA extreme materials panel
sim-0138,simulation,NASA extreme materials panel 0138,NASA extreme materials panel; heat flux and structural resilience benchmark. Thermal service window up to 1286.05 C with modeled conductivity 50.125 and structural response 934.44.,1286.05,934.44,50.125,,,NASA extreme materials panel
sim-0139,simulation,FEA structural heat-load surrogate 0139,FEA structural heat-load surrogate; high-temperature flow around coated surface. Thermal service window up to 1145.29 C with modeled conductivity 176.909 and structural response 673.16.,1145.29,673.16,176.909,,,FEA structural heat-load surrogate
sim-0140,simulation,NASA extreme materials panel 0140,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 1020.03 C with modeled conductivity 172.008 and structural response 878.31.,1020.03,878.31,172.008,,,NASA extreme materials panel
sim-0141,simulation,OpenFOAM CFD thermal shock case 0141,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 290.89 C with modeled conductivity 47.388 and structural response 269.43.,290.89,269.43,47.388,,,OpenFOAM CFD thermal shock case
sim-0142,simulation,NIST thermodynamic reference case 0142,NIST thermodynamic reference case; thermal expansion under desert-day swing. Thermal service window up to 1206.4 C with modeled conductivity 145.193 and structural response 1063.47.,1206.4,1063.47,145.193,,,NIST thermodynamic reference case
sim-0143,simulation,OpenFOAM CFD thermal shock case 0143,OpenFOAM CFD thermal shock case; high-temperature flow around coated surface. Thermal service window up to 1427.13 C with modeled conductivity 60.35 and structural response 233.54.,1427.13,233.54,60.35,,,OpenFOAM CFD thermal shock case
sim-0144,simulation,FEA structural heat-load surrogate 0144,FEA structural heat-load surrogate; vacuum and radiation facing material screen. Thermal service window up to 1079.49 C with modeled conductivity 132.375 and structural response 736.6.,1079.49,736.6,132.375,,,FEA structural heat-load surrogate
sim-0145,simulation,OpenFOAM CFD thermal shock case 0145,OpenFOAM CFD thermal shock case; vacuum and radiation facing material screen. Thermal service window up to 359.46 C with modeled conductivity 141.709 and structural response 794.0.,359.46,794.0,141.709,,,OpenFOAM CFD thermal shock case
sim-0146,simulation,FEA structural heat-load surrogate 0146,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 333.5 C with modeled conductivity 20.219 and structural response 262.4.,333.5,262.4,20.219,,,FEA structural heat-load surrogate
sim-0147,simulation,OpenFOAM CFD thermal shock case 0147,OpenFOAM CFD thermal shock case; thermal expansion under desert-day swing. Thermal service window up to 170.8 C with modeled conductivity 80.935 and structural response 823.37.,170.8,823.37,80.935,,,OpenFOAM CFD thermal shock case
sim-0148,simulation,NIST thermodynamic reference case 0148,NIST thermodynamic reference case; high-temperature flow around coated surface. Thermal service window up to 263.74 C with modeled conductivity 99.269 and structural response 921.25.,263.74,921.25,99.269,,,NIST thermodynamic reference case
sim-0149,simulation,NASA extreme materials panel 0149,NASA extreme materials panel; thermal expansion under desert-day swing. Thermal service window up to 1034.0 C with modeled conductivity 170.608 and structural response 552.34.,1034.0,552.34,170.608,,,NASA extreme materials panel
sim-0150,simulation,FEA structural heat-load surrogate 0150,FEA structural heat-load surrogate; thermal expansion under desert-day swing. Thermal service window up to 663.06 C with modeled conductivity 46.513 and structural response 122.96.,663.06,122.96,46.513,,,FEA structural heat-load surrogate
